numero,data_pedido,hora_pedido,cliente,endereco,telefone,tipo_entrega,valor_pizza,valor_borda,valor_refrigerante,valor_entrega,valor_total,hora_entrega,tempo
1,2011-10-07,18:45:00,"Cliente 1","Endereco 1",00-000-0000,Buscar,32,0,0,0,32,19:15:00,00:30:00
2,2011-10-07,18:47:00,"Cliente 2","Endereco 2",00-000-0001,Buscar,30,0,0,0,30,19:30:00,00:43:00
3,2011-10-07,18:49:00,"Cliente 3","Endereco 3",00-000-0002,Buscar,27,0,0,0,27,19:31:00,00:42:00
4,2011-10-07,18:50:00,"Cliente 4","Endereco 4",00-000-0003,Buscar,30,0,0,0,30,19:30:00,00:40:00
5,2011-10-07,18:52:00,"Cliente 5","Endereco 5",00-000-0004,Buscar,30,0,0,0,30,19:15:00,00:23:00
6,2011-10-07,18:57:00,"Cliente 6","Endereco 6",00-000-0005,Entrega,23,0,4.5,2.5,30,19:35:00,00:38:00
7,2011-10-07,18:59:00,"Cliente 7","Endereco 7",00-000-0006,Buscar,28,2.5,0,0,30.5,19:20:00,00:21:00
8,2011-10-07,20:00:00,"Cliente 8","Endereco 8",00-000-0007,Entrega,28,0,4.5,2.5,35,20:32:00,00:32:00
9,2011-10-07,20:05:00,"Cliente 9","Endereco 9",00-000-0008,Buscar,23,0,0,0,23,20:40:00,00:35:00
10,2011-10-07,20:10:00,"Cliente 10","Endereco 10",00-000-0009,Entrega,23,0,0,2.5,25.5,21:05:00,00:55:00
11,2011-10-07,20:12:00,"Cliente 11","Endereco 11",00-000-0010,buscar,19.5,0,0,0,19.5,20:53:00,00:41:00
12,2011-10-07,20:15:00,"Cliente 12","Endereco 12",00-000-0011,Entrega,23,0,0,2.5,25.5,21:05:00,00:50:00
13,2011-10-07,20:15:00,"Cliente 13","Endereco 13",00-000-0012,Entrega,18,0,0,2.5,20.5,21:05:00,00:50:00
14,2011-10-07,20:25:00,"Cliente 14","Endereco 14",00-000-0013,Entrega,32,0,0,2.5,34.5,20:45:00,00:20:00
15,2011-10-07,20:35:00,"Cliente 15","Endereco 15",00-000-0014,Entrega,15,0,0,2.5,17.5,21:25:00,00:50:00
16,2011-10-07,20:38:00,"Cliente 16","Endereco 16",00-000-0015,Buscar,27,0,0,0,27,21:20:00,00:42:00
17,2011-10-07,20:58:00,"Cliente 17","Endereco 17",00-000-0016,Entrega,23,0,0,2.5,25.5,21:48:00,00:50:00
18,2011-10-07,21:17:00,"Cliente 18","Endereco 18",00-000-0017,Buscar,31,0,0,0,31,21:49:00,00:32:00
19,2011-10-07,21:27:00,"Cliente 19","Endereco 19",00-000-0018,Entrega,32,2.5,0,2.5,37,22:02:00,00:35:00
20,2011-10-07,21:31:00,"Cliente 20","Endereco 20",00-000-0019,Buscar,27,0,0,0,27,22:10:00,00:39:00
21,2011-10-07,22:05:00,"Cliente 21","Endereco 21",00-000-0020,Entrega,23,0,0,2.5,25.5,22:36:00,00:31:00
22,2011-10-07,22:20:00,"Cliente 22","Endereco 22",00-000-0021,Buscar,28,0,0,0,28,22:48:00,00:28:00
23,2011-10-07,22:37:00,"Cliente 23","Endereco 23",00-000-0022,Buscar,12,0,0,0,12,23:00:00,00:23:00
